./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
61  60  65  55  54  156 155 115 106 66  max: 156  average 10: 89  average total: 89 0KB/s(in)
19:58.38 58 112 122 72  71  62  51  122 91  50  max: 122  average 10: 81  average total: 81
19:58.38 60 55  55  56  56  184 185 158 134 114 max: 185  average 10: 105  average total: 105
19:58.39 105    65  50  51  123 102 82  53  57  58  max: 123  average 10: 74  average total: 74
19:58.39 58 59  58  59  54  54  53  53  53  48  max: 59  average 10: 54  average total: 54
19:58.40 49 59  50  61  60  61  56  55  56  67  max: 67  average 10: 57  average total: 57
19:58.40 57 57  57  115 104 65  53  53  53  55  max: 115  average 10: 66  average total: 66
19:58.41 55 55  64  130 140 111 100 61  70  56  max: 140  average 10: 84  average total: 84
19:58.41 55 55  56  55  57  57  62  52  62  52  max: 62  average 10: 56  average total: 56
19:58.42 52 53  53  64  54  59  48  58  58  59  max: 64  average 10: 55  average total: 55
19:58.42 65 59  56  58  57  80  176 188 200 242 max: 242  average 10: 118  average total: 118
19:58.43 191    216 238 435 500 518 496 518 467 485 max: 518  average 10: 406  average total: 406
19:58.44 477    427 418 452 429 404 363 530 518 529 max: 530  average 10: 454  average total: 454
19:58.44 553    567 568 518 506 469 418 408 446 403 max: 568  average 10: 485  average total: 485
19:58.45 393    345 344 420 393 376 735 685 634 584 max: 735  average 10: 490  average total: 490
19:58.45 548    507 545 527 635 607 564 533 487 439 max: 635  average 10: 539  average total: 539
19:58.46 416    366 316 267 274 281 261 271 260 231 max: 416  average 10: 294  average total: 294
19:58.46 210    172 129 109 68  58  52  55  54  53  max: 210  average 10: 96  average total: 96
19:58.46 53 53  64  53  52  46  57  58  57  57  max: 64  average 10: 55  average total: 55
19:58.47 155    107 103 63  55  54  56  56  61  50  max: 155  average 10: 76  average total: 76
19:58.47 51 62  50  52  63  47  57  57  59  119 max: 119  average 10: 61  average total: 61 9.8KB/s(in)
19:58.48 105    74  55  54  55  57  57  52  52  53  max: 105  average 10: 61  average total: 61
19:58.48 64 64  54  54  61  60  63  61  70  126 max: 126  average 10: 67  average total: 67
19:58.49 75 105 90  483 433 382 331 281 263 453 max: 483  average 10: 289  average total: 289
19:58.50 426    438 499 493 442 407 436 385 441 453 max: 499  average 10: 442  average total: 442
19:58.50 432    417 366 342 323 293 253 235 529 493 max: 529  average 10: 368  average total: 368
19:58.51 442    446 416 365 332 307 283 232 287 237 max: 446  average 10: 334  average total: 334
19:58.51 187    200 278 232 246 195 230 212 182 199 max: 278  average 10: 216  average total: 216
19:58.52 192    169 326 275 225 174 124 74  55  111 max: 326  average 10: 172  average total: 172
19:58.52 402    352 374 339 312 281 250 218 188 158 max: 402  average 10: 287  average total: 287
19:58.52 127    98  53  53  53  53  69  313 263 212 max: 313  average 10: 129  average total: 129
19:58.53 303    252 459 491 985 934 884 833 783 733 max: 985  average 10: 665  average total: 665
19:58.54 703    682 653 608 629 582 539 496 445 398 max: 703  average 10: 573  average total: 573
19:58.54 693    642 592 541 490 440 389 402 381 374 max: 693  average 10: 494  average total: 494
19:58.55 350    419 367 317 265 215 229 747 696 668 max: 747  average 10: 427  average total: 427
19:58.56 616    605 564 523 503 462 420 409 379 330 max: 616  average 10: 481  average total: 481
19:58.56 280    289 259 214 194 156 118 79  162 156 max: 289  average 10: 190  average total: 190
19:58.56 153    727 677 626 575 543 497 490 439 401 max: 727  average 10: 512  average total: 512
19:58.57 399    581 548 519 474 538 493 499 610 604 max: 610  average 10: 526  average total: 526
19:58.57 605    560 675 659 646 610 595 598 556 538 max: 675  average 10: 604  average total: 604 9.4KB/s(in)
19:58.58 505    454 404 356 316 267 263 248 677 626 max: 677  average 10: 411  average total: 411
19:58.59 576    525 551 545 495 446 403 367 382 421 max: 576  average 10: 471  average total: 471
19:58.59 415    434 392 364 333 302 270 241 203 175 max: 434  average 10: 312  average total: 312
19:58.59 153    111 119 73  65  76  275 251 239 211 max: 275  average 10: 157  average total: 157
19:59.0 221 218 176 138 154 576 527 477 426 375 max: 576  average 10: 328  average total: 328
19:59.0 325 321 699 663 613 562 511 461 410 358 max: 699  average 10: 492  average total: 492
19:59.1 316 277 243 208 183 161 169 432 429 395 max: 432  average 10: 281  average total: 281
19:59.1 380 338 326 312 266 256 206 193 166 135 max: 380  average 10: 257  average total: 257
19:59.2 87  81  117 433 427 477 508 494 499 461 max: 508  average 10: 358  average total: 358
19:59.2 431 444 434 419 379 343 307 440 394 456 max: 456  average 10: 404  average total: 404
19:59.3 447 444 480 465 459 421 436 410 530 494 max: 530  average 10: 458  average total: 458
19:59.3 677 661 610 559 508 458 407 356 402 398 max: 677  average 10: 503  average total: 503
19:59.4 553 503 475 457 604 553 502 451 400 350 max: 604  average 10: 484  average total: 484
19:59.4 299 248 198 422 404 669 689 638 587 537 max: 689  average 10: 469  average total: 469
19:59.5 487 436 385 347 304 335 339 345 373 344 max: 487  average 10: 369  average total: 369
19:59.5 328 287 277 240 239 224 177 156 157 150 max: 328  average 10: 223  average total: 223
19:59.6 312 630 645 594 544 493 442 419 728 697 max: 728  average 10: 550  average total: 550
19:59.7 910 859 809 759 708 657 609 624 645 613 max: 910  average 10: 719  average total: 719
19:59.7 653 683 646 605 645 654 611 567 526 507 max: 683  average 10: 609  average total: 609
19:59.8 527 521 478 427 390 398 384 453 402 352 max: 527  average 10: 433  average total: 433
19:59.8 305 338 447 417 781 730 680 630 579 529 max: 781  average 10: 543  average total: 543 9.8KB/s(in)
19:59.9 478 461 412 364 314 330 312 261 246 234 max: 478  average 10: 341  average total: 341
19:59.9 270 276 261 419 383 345 299 255 205 172 max: 419  average 10: 288  average total: 288
19:59.9 152 111 72  71  532 482 431 380 329 283 max: 532  average 10: 284  average total: 284
19:59.10 257    565 514 514 473 462 423 412 372 331 max: 565  average 10: 432  average total: 432
19:59.10 312    271 225 184 167 134 267 216 205 172 max: 312  average 10: 215  average total: 215
19:59.11 152    112 82  61  61  56  55  57  57  137 max: 152  average 10: 83  average total: 83
19:59.11 106    96  55  51  62  53  51  80  52  69  max: 106  average 10: 67  average total: 67
19:59.12 61 61  56  59  57  58  58  58  55  54  max: 61  average 10: 57  average total: 57
