Run UDT client loop ...
50  52  48  50  51  50  47  48  47  47  max: 52  average 10: 49  average total: 49 0KB/s(in)
15:9.22 49  49  49  47  49  467 415 363 311 260 max: 467  average 10: 205  average total: 127
15:9.23 301 334 364 381 431 379 406 421 448 469 max: 469  average 10: 393  average total: 216
15:9.24 484 505 509 512 514 540 515 498 498 490 max: 540  average 10: 506  average total: 288
15:9.24 436 426 379 987 977 971 962 954 933 901 max: 987  average 10: 792  average total: 389
15:9.25 869 833 798 758 717 679 627 583 541 496 max: 869  average 10: 690  average total: 439
15:9.25 454 411 365 322 280 233 188 144 98  56  max: 454  average 10: 255  average total: 413
15:9.25 52  148 98  68  66  163 117 67  48  71  max: 163  average 10: 89  average total: 372
15:9.26 168 129 88  60  153 108 70  55  67  58  max: 168  average 10: 95  average total: 342
15:9.26 50  51  58  48  52  50  47  46  49  48  max: 58  average 10: 49  average total: 312
15:9.27 48  48  47  48  61  49  50  48  148 100 max: 148  average 10: 64  average total: 290
15:9.27 55  47  51  65  54  49  49  47  53  49  max: 65  average 10: 51  average total: 270
15:9.28 46  49  51  53  48  49  91  50  48  50  max: 91  average 10: 53  average total: 253
15:9.28 48  146 98  58  47  46  47  153 102 54  max: 153  average 10: 79  average total: 241
15:9.29 47  49  49  62  64  48  48  47  50  62  max: 64  average 10: 52  average total: 228
15:9.29 49  51  51  53  48  48  47  51  147 100 max: 147  average 10: 64  average total: 218
15:9.30 53  50  69  64  49  48  151 102 151 102 max: 151  average 10: 83  average total: 210
15:9.30 167 118 67  48  49  47  50  63  111 103 max: 167  average 10: 82  average total: 203
15:9.31 56  51  54  55  51  48  51  148 100 79  max: 148  average 10: 69  average total: 196
15:9.31 50  56  65  145 97  55  47  48  47  51  max: 145  average 10: 66  average total: 189
15:9.32 47  55  53  49  52  208 170 119 768 721 max: 768  average 10: 224  average total: 191 9KB/s(in)
15:9.33 681 630 578 533 485 435 384 336 290 243 max: 681  average 10: 459  average total: 203
15:9.33 190 143 98  61  48  152 103 70  67  64  max: 190  average 10: 99  average total: 199
15:9.33 58  58  48  49  49  56  50  62  186 135 max: 186  average 10: 75  average total: 193
15:9.34 94  60  527 476 428 379 331 285 235 184 max: 527  average 10: 299  average total: 198
15:9.35 134 286 235 289 237 185 134 80  217 165 max: 289  average 10: 196  average total: 198
15:9.35 115 63  95  177 123 72  143 96  64  49  max: 177  average 10: 99  average total: 194
15:9.36 47  47  48  49  47  148 100 67  47  50  max: 148  average 10: 65  average total: 189
15:9.36 144 98  66  50  47  50  49  51  54  53  max: 144  average 10: 66  average total: 185
15:9.37 47  49  49  47  48  57  50  47  48  747 max: 747  average 10: 118  average total: 183
15:9.38 696 642 592 537 485 432 382 331 277 223 max: 696  average 10: 459  average total: 192
15:9.38 173 121 70  252 201 148 96  56  165 114 max: 252  average 10: 139  average total: 190
15:9.38 63  160 110 61  439 388 334 284 233 181 max: 439  average 10: 225  average total: 191
15:9.39 131 78  183 132 81  387 335 283 229 174 max: 387  average 10: 201  average total: 191
15:9.39 123 73  207 155 104 55  318 265 215 165 max: 318  average 10: 168  average total: 191
15:9.40 114 61  92  564 510 458 407 353 298 246 max: 564  average 10: 310  average total: 194
15:9.40 191 141 88  86  295 244 195 143 89  180 max: 295  average 10: 165  average total: 193
15:9.41 132 296 399 349 298 244 191 140 86  71  max: 399  average 10: 220  average total: 194
15:9.41 153 105 568 517 467 423 368 316 263 211 max: 568  average 10: 339  average total: 198
15:9.42 159 108 90  51  50  55  51  50  48  49  max: 159  average 10: 71  average total: 195
15:9.42 150 99  54  873 822 768 717 664 612 561 max: 873  average 10: 532  average total: 203 9.7KB/s(in)
15:9.43 511 462 411 356 302 249 197 146 91  416 max: 511  average 10: 314  average total: 205
15:9.44 364 314 263 210 159 109 237 182 133 81  max: 364  average 10: 205  average total: 205
15:9.44 178 130 76  49  52  48  57  164 119 67  max: 178  average 10: 94  average total: 203
15:9.44 49  50  50  58  56  49  48  52  63  55  max: 63  average 10: 53  average total: 199
15:9.45 48  62  94  53  50  51  49  145 97  54  max: 145  average 10: 70  average total: 197
15:9.45 48  52  47  47  50  48  49  48  49  49  max: 52  average 10: 48  average total: 194
15:9.46 56  48  49  49  64  53  47  51  155 104 max: 155  average 10: 67  average total: 191
15:9.46 57  48  47  149 101 54  48  47  49  58  max: 149  average 10: 65  average total: 188
15:9.47 51  48  47  48  48  47  49  202 166 115 max: 202  average 10: 82  average total: 186
15:9.48 69  48  48  49  50  50  49  49  47  48  max: 69  average 10: 50  average total: 184
15:9.48 51  49  48  47  51  50  48  62  54  55  max: 62  average 10: 51  average total: 181
15:9.49 155 103 53  142 95  51  50  47  63  48  max: 155  average 10: 80  average total: 179
15:9.49 49  46  48  50  46  46  49  49  49  48  max: 50  average 10: 48  average total: 177
15:9.50 47  47  47  48  48  48  49  48  48  47  max: 49  average 10: 47  average total: 174
15:9.50 47  47  49  52  49  48  51  73  61  47  max: 73  average 10: 52  average total: 172
15:9.51 50  48  51  48  153 165 111 62  48  50  max: 165  average 10: 78  average total: 170
15:9.51 55  65  65  57  78  73  54  54  53  167 max: 167  average 10: 72  average total: 169
15:9.52 116 64  50  55  49  226 177 126 75  56  max: 226  average 10: 99  average total: 168
15:9.52 51  49  54  67  166 117 153 101 63  50  max: 166  average 10: 87  average total: 166
15:9.53 51  49  47  49  49  51  51  51  50  52  max: 52  average 10: 50  average total: 164
15:9.53 51  49  49  49  49  51  49  50  50  50  max: 51  average 10: 49  average total: 162 10.1KB/s(in)
15:9.54 50  48  49  54  51  52  51  53  55  50  max: 55  average 10: 51  average total: 161
15:9.54 52  51  50  52  48  49  53  47  51  48  max: 53  average 10: 50  average total: 159
15:9.55 48  53  49  48  97  144 95  66  48  50  max: 144  average 10: 69  average total: 158
15:9.55 47  49  47  48  54  52  46  48  94  55  max: 94  average 10: 54  average total: 156
15:9.56 51  49  50  265 1185    1134    1084    1034    994 944 max: 1185  average 10: 679  average total: 164
15:9.57 890 840 791 738 687 637 596 546 494 440 max: 890  average 10: 665  average total: 171
15:9.57 405 368 329 337 287 239 188 137 87  47  max: 405  average 10: 242  average total: 172
15:9.57 48  52  48  47  48  56  48  49  47  49  max: 56  average 10: 49  average total: 170
15:9.58 148 102 60  49  49  55  49  51  53  52  max: 148  average 10: 66  average total: 169
15:9.58 49  48  48  57  58  53  48  49  54  48  max: 58  average 10: 51  average total: 167
15:9.59 57  49  53  50  54  58  59  54  56  53  max: 59  average 10: 54  average total: 166
15:9.59 184 133 83  55  52  118 67  49  63  52  max: 184  average 10: 85  average total: 165
15:10.0 49  54  49  62  70  247 213 171 119 75  max: 247  average 10: 110  average total: 164
15:10.0 48  48  51  51  150 102 60  47  142 91  max: 150  average 10: 79  average total: 163
15:10.1 85  48  49  48  154 101 60  48  63  52  max: 154  average 10: 70  average total: 162
15:10.1 56  49  58  54  53  59  51  51  50  51  max: 59  average 10: 53  average total: 160
15:10.2 55  47  155 103 61  53  52  50  49  53  max: 155  average 10: 67  average total: 159
15:10.2 55  54  53  68  61  86  260 207 155 101 max: 260  average 10: 110  average total: 158
15:10.3 60  49  82  55  73  65  54  50  51  52  max: 82  average 10: 59  average total: 157
15:10.3 48  49  55  85  54  49  53  53  52  60  max: 85  average 10: 55  average total: 156 9.6KB/s(in)
15:10.4 54  64  51  56  49  54  64  60  66  51  max: 66  average 10: 56  average total: 155
15:10.5 56  170 118 68  280 284 234 193 144 92  max: 284  average 10: 163  average total: 155
15:10.5 59  51  50  50  197 147 94  49  54  50  max: 197  average 10: 80  average total: 154
15:10.6 49  49  50  48  144 93  148 99  56  47  max: 148  average 10: 78  average total: 153
15:10.6 46  52  49  48  48  49  49  56  148 96  max: 148  average 10: 64  average total: 152
15:10.7 65  50  167 117 66  49  52  55  157 107 max: 167  average 10: 88  average total: 151
15:10.7 55  53  52  48  52  51  55  46  151 101 max: 151  average 10: 66  average total: 150
15:10.8 63  49  48  48  462 412 359 312 262 211 max: 462  average 10: 222  average total: 151
15:10.8 161 110 140 91  58  58  50  49  48  48  max: 161  average 10: 81  average total: 150
15:10.9 53  60  64  51  48  49  46  50  47  56  max: 64  average 10: 52  average total: 149
15:10.9 50  47  46  51  50  62  48  49  51  48  max: 62  average 10: 50  average total: 148
15:10.10 49 49  49  48  51  47  49  48  48  48  max: 51  average 10: 48  average total: 147
15:10.10 49 50  48  47  49  52  47  48  50  47  max: 52  average 10: 48  average total: 146
15:10.11 73 150 112 64  54  54  111 62  60  48  max: 150  average 10: 78  average total: 145
15:10.11 48 49  677 630 578 528 486 432 379 324 max: 677  average 10: 413  average total: 148
15:10.12 270    218 167 151 107 64  111 64  51  136 max: 270  average 10: 133  average total: 148
15:10.12 85 56  49  48  51  47  1290    1347    1294    1241    max: 1347  average 10: 550  average total: 152
15:10.14 103    88  55  52  48  48  55  48  49  61  max: 103  average 10: 60  average total: 151 8.6KB/s(in)
15:10.14 49 48  53  50  46  47  54  63  310 259 max: 310  average 10: 97  average total: 151
15:10.15 204    152 103 52  55  58  49  49  147 99  max: 204  average 10: 96  average total: 150
15:10.15 55 55  60  47  48  48  48  48  48  69  max: 69  average 10: 52  average total: 149
15:10.16 164    116 154 102 55  47  51  47  49  49  max: 164  average 10: 83  average total: 149
15:10.16 48 48  57  48  48  50  151 97  58  55  max: 151  average 10: 66  average total: 148
15:10.17 51 47  55  149 319 331 280 230 177 125 max: 331  average 10: 176  average total: 148
15:10.18 75 60  51  50  49  124 90  48  150 100 max: 150  average 10: 79  average total: 147
15:10.18 60 47  52  47  48  51  51  48  47  49  max: 60  average 10: 50  average total: 146
15:10.19 49 48  47  49  48  51  49  47  47  47  max: 51  average 10: 48  average total: 146
15:10.19 48 49  49  49  48  48  49  51  50  47  max: 51  average 10: 48  average total: 145
15:10.20 52 50  55  51  47  49  50  47  48  50  max: 55  average 10: 49  average total: 144
15:10.20 48 52  48  49  49  149 101 51  46  49  max: 149  average 10: 64  average total: 143
15:10.21 54 51  55  49  49  76  108 83  58  51  max: 108  average 10: 63  average total: 142
15:10.21 147    96  58  61  64  64  56  48  49  48  max: 147  average 10: 69  average total: 142
