./udt_bench_mark/udt_stream_client/udt_stream_client 22001 120.26.200.117 23456 500 2>./state.log
connect to: 120.26.200.117 23456
Run UDT client loop ...
235 183 190 182 153 130 192 183 192 949 max: 949  average 10: 258  average total: 258 0KB/s(in)
19:58.44 900    846 979 928 1157    1329    1705    1655    2617    2562    max: 2617  average 10: 1467  average total: 863
19:58.46 2507   2453    2399    2475    2643    2783    2890    2893    2906    2916    max: 2916  average 10: 2686  average total: 1471
19:58.47 2925   2930    2928    2934    2931    2926    2932    2877    2854    2845    max: 2934  average 10: 2908  average total: 1830
19:58.47 2832   2826    2773    2751    2697    2644    2630    2578    2523    2469    max: 2832  average 10: 2672  average total: 1998
19:58.48 2452   2431    2415    2393    2373    2319    2295    2271    2249    2226    max: 2452  average 10: 2342  average total: 2056
19:58.48 2200   2175    2149    2125    2093    2066    2015    1988    1960    1908    max: 2200  average 10: 2067  average total: 2057
19:58.48 1875   1847    1795    1762    1708    1657    1626    1574    1523    1494    max: 1875  average 10: 1686  average total: 2011
19:58.48 1458   1424    1392    1360    1330    1277    1238    1206    1173    1122    max: 1458  average 10: 1298  average total: 1932
19:58.48 1087   1055    1019    983 950 898 862 825 790 752 max: 1087  average 10: 922  average total: 1831
19:58.49 714    676 622 584 544 508 457 417 369 338 max: 714  average 10: 522  average total: 1712
19:58.49 291    255 201 160 123 90  57  50  60  90  max: 291  average 10: 137  average total: 1580
19:58.49 76 102 203 150 99  1263    1247    1194    1142    1088    max: 1263  average 10: 656  average total: 1509
19:58.50 1037   1027    973 920 924 873 818 830 776 721 max: 1037  average 10: 889  average total: 1465
19:58.51 690    636 584 542 743 689 638 586 535 513 max: 743  average 10: 615  average total: 1408
19:58.51 459    408 354 303 253 1023    972 922 870 819 max: 1023  average 10: 638  average total: 1360
19:58.52 767    716 662 610 558 507 454 401 347 295 max: 767  average 10: 531  average total: 1311
19:58.52 326    306 253 385 361 344 319 292 264 209 max: 385  average 10: 305  average total: 1256
19:58.52 210    172 122 222 167 114 150 97  72  50  max: 222  average 10: 137  average total: 1197
19:58.53 47 226 171 4515    4463    4409    4358    4307    4257    4206    max: 4515  average 10: 3095  average total: 1292 7.1KB/s(in)
19:58.57 4154   4103    4049    3995    3941    3889    3835    3781    3726    3672    max: 4154  average 10: 3914  average total: 1416
19:58.57 3685   3637    3584    3534    3479    3425    3373    3319    3267    3387    max: 3685  average 10: 3469  average total: 1510
19:58.57 3335   3281    3251    3200    3148    4133    4079    4028    3977    3922    max: 4133  average 10: 3635  average total: 1602
